name,email,province,city,date,letter,gifts
Brian,brian2018@hotmail.com,Nunavut,Iqaluit,2024-12-14,"Yo Santa!

Brian checking in from Iqaluit, Nunavut. This year's been wild, but I've kept it cool. 
I'm hyped about maybe getting a portable campfire. And, if you're feeling extra jolly, a toy car would blow my mind!

Stay frosty!
Brian
","portable campfire, toy car"
Savannah,savannah456@yahoo.com,Ontario,Ottawa,2024-11-22,"Dear Santa Claus,

Savannah here from Ottawa, Ontario. I've been working hard on being good this year.
I'm really excited about the possibility of getting a Rainbow Loom Charm Bracelet Kit. And if it's not too much to ask, a foldable travel backpack would be incredible!

Thanks for spreading joy!
Savannah
","Rainbow Loom Charm Bracelet Kit, foldable travel backpack"
Christopher,,Saskatchewan,Saskatoon,2024-11-09,"Dear Santa Claus,

Christopher here from Saskatoon, Saskatchewan. I've been working hard on being good this year.
I'm really excited about the possibility of getting a Ceramic Piggybank Nursery Keepsake. And if it's not too much to ask, a 3D printing pen would be incredible!

Thanks for spreading joy!
Christopher
","Ceramic Piggybank Nursery Keepsake, 3D printing pen"
Samuel,samuel456@yahoo.com,Saskatchewan,Prince Albert,2024-11-15,"Dear Santa Claus,

Samuel here from Prince Albert, Saskatchewan. I've been working hard on being good this year.
I'm really excited about the possibility of getting a color-changing smart light bulb. And if it's not too much to ask, a noise-cancelling headphones would be incredible!

Thanks for spreading joy!
Samuel
","color-changing smart light bulb, noise-cancelling headphones"
Carlos,carlos456@hotmail.com,Alberta,Edmonton,2024-11-27,"Dear Santa Claus,

It’s Carlos here from Edmonton, Alberta! I hope you and the reindeer are doing great.
This year, I’ve been really good, and I’d be super excited to get a Our Generation Siberian Husky Plush.
And if it’s okay, I’d also love a virtual pet robot to make the holidays even more special.

Thanks so much, Santa!
Love,
Carlos
","Our Generation Siberian Husky Plush, virtual pet robot"
Sandra,,British Columbia,Burnaby,2024-11-25,"Hey Santa!

What's up? It's Sandra here from Burnaby, British Columbia. I've been crushing it this year - no coal for me, right? 😉
I'm dreaming of a Transformers Authentics Optimus Prime under the tree. Oh, and if you've got room in that sleigh, a solar-powered phone charger would be epic too!

You're the best, big guy!
Sandra
","Transformers Authentics Optimus Prime, solar-powered phone charger"
Michael,,Ontario,Toronto,2024-11-16,"To Santa Claus,

My name is Michael, and I live in Toronto, Ontario.
This year, I’ve worked really hard to stay on the 'nice' list. For Christmas, I would be so happy 
to receive a Small Stoneware Vase. And if it’s not too much to ask, I would love a Skullcandy Dime 2 In-Ear Wireless Earbuds as well.

Thank you so much, Santa!
Warm regards,
Michael
","Small Stoneware Vase, Skullcandy Dime 2 In-Ear Wireless Earbuds"
Johnny,,Quebec,Laval,2024-11-24,"Dear Santa Claus,

Johnny here from Laval, Quebec. I've been working hard on being good this year.
I'm really excited about the possibility of getting a virtual pet robot. And if it's not too much to ask, a retro instant camera would be incredible!

Thanks for spreading joy!
Johnny
","virtual pet robot, retro instant camera"
Rebecca,rebecca.ran@outlook.com,Nunavut,Rankin Inlet,2024-12-05,"Dear Santa Claus,

It’s Rebecca here from Rankin Inlet, Nunavut! I hope you and the reindeer are doing great.
This year, I’ve been really good, and I’d be super excited to get a LEGO Creator 3-in-1 Mighty Dinosaurs.
And if it’s okay, I’d also love a smart water bottle to make the holidays even more special.

Thanks so much, Santa!
Love,
Rebecca
","LEGO Creator 3-in-1 Mighty Dinosaurs, smart water bottle"
Elizabeth,elizabeth2012@yahoo.com,Nova Scotia,Dartmouth,2024-12-15,"Dear Santa,

I hope this letter finds you well. My name is Elizabeth, and I live in Dartmouth, Nova Scotia. 
This year, I've been on my best behavior. For Christmas, I would really love a Temporary Tattoo Markers Kit. 
If you can, I would also be thrilled to receive a Harry Potter Wand.

Thank you for all the joy you bring!
Sincerely,
Elizabeth
","Temporary Tattoo Markers Kit, Harry Potter Wand"
Jeanette,,Nunavut,Iqaluit,2024-12-22,"Dear S-Claus,

It's your pal Jeanette from Iqaluit, Nunavut. I've been working on my nice game all year.
I'm really hoping for a color-changing smart light bulb this Christmas. And hey, if you're in a giving mood, a 3D printing pen would be awesome too!

Thanks for being you!
Jeanette
","color-changing smart light bulb, 3D printing pen"
Matthew,matthew789@yahoo.com,Newfoundland and Labrador,Corner Brook,2024-12-21,"Dear Santa Claus,

Matthew here from Corner Brook, Newfoundland and Labrador. I've been working hard on being good this year.
I'm really excited about the possibility of getting a Apple iPad Air. And if it's not too much to ask, a Apple Watch would be incredible!

Thanks for spreading joy!
Matthew
","Apple iPad Air, Apple Watch"
Lindsey,lindsey.wilson@mail.com,Ontario,Ottawa,2024-12-18,"S-man!

What's crackin'? It's Lindsey from Ottawa, Ontario. I've been keeping my nose clean all year.
I'm super stoked about maybe getting a wireless charging pad. And if you're feeling extra jolly, a mini espresso maker would be off the hook!

You're a legend, Santa!
Lindsey
","wireless charging pad, mini espresso maker"
Susan,susan456@outlook.com,Alberta,Edmonton,2024-12-22,"Dear Santa Claus,

Susan here from Edmonton, Alberta. I've been working hard on being good this year.
I'm really excited about the possibility of getting a 3D printing pen. And if it's not too much to ask, a Harry Potter Crookshanks Plush would be incredible!

Thanks for spreading joy!
Susan
","3D printing pen, Harry Potter Crookshanks Plush"
Lisa,lisa.smith@gmail.com,Nunavut,Cambridge Bay,2024-11-01,"Hey Santa!

What's up? It's Lisa here from Cambridge Bay, Nunavut. I've been crushing it this year - no coal for me, right? 😉
I'm dreaming of a Pom Pom Beanie with LED Light under the tree. Oh, and if you've got room in that sleigh, a 5 Surprise NBA Ballers would be epic too!

You're the best, big guy!
Lisa
","Pom Pom Beanie with LED Light, 5 Surprise NBA Ballers"
Monica,monica.edm@hotmail.com,Alberta,Edmonton,2024-12-15,"Dear S-Claus,

It's your pal Monica from Edmonton, Alberta. I've been working on my nice game all year.
I'm really hoping for a mini drone this Christmas. And hey, if you're in a giving mood, a virtual reality headset would be awesome too!

Thanks for being you!
Monica
","mini drone, virtual reality headset"
Mark,mark2012@yahoo.com,Manitoba,Brandon,2024-12-14,"Santa, my dude!

Mark here, repping Brandon, Manitoba. I've been good(ish) this year, promise!
I'm crossing my fingers for a smart water bottle. And if you're feeling extra magical, a customized photo puzzle would make my year!

You rock, Santa!
Mark
","smart water bottle, customized photo puzzle"
John,john2012@mail.com,Newfoundland and Labrador,Corner Brook,2024-12-15,"Dear Santa Claus,

John here from Corner Brook, Newfoundland and Labrador. I've been working hard on being good this year.
I'm really excited about the possibility of getting a Electric Candle Lighter. And if it's not too much to ask, a Apple iPad Air would be incredible!

Thanks for spreading joy!
John
","Electric Candle Lighter, Apple iPad Air"
Kevin,,Northwest Territories,Yellowknife,2024-12-02,"Hello Santa,

My name is Kevin, and I come from Yellowknife, Northwest Territories.
This year, I’ve tried to spread kindness and be the best I can be. For Christmas, I would 
be delighted to unwrap a Yellow Dress-Up Set. And if it’s possible, I’d also really appreciate a Harry Potter Wand.

Thanks for making Christmas magical!
With gratitude,
Kevin
","Yellow Dress-Up Set, Harry Potter Wand"
Timothy,,Newfoundland and Labrador,St. John's,2024-12-03,"Yo Santa!

Timothy checking in from St. John's, Newfoundland and Labrador. This year's been wild, but I've kept it cool. 
I'm hyped about maybe getting a Furby Furblets. And, if you're feeling extra jolly, a teddy bear would blow my mind!

Stay frosty!
Timothy
","Furby Furblets, teddy bear"
Megan,megan.m@outlook.com,Quebec,Laval,2024-11-02,"Hey Santa!

What's up? It's Megan here from Laval, Quebec. I've been crushing it this year - no coal for me, right? 😉
I'm dreaming of a multi-tool pocket knife under the tree. Oh, and if you've got room in that sleigh, a 3D printing pen would be epic too!

You're the best, big guy!
Megan
","multi-tool pocket knife, 3D printing pen"
Laura,,New Brunswick,Moncton,2024-12-22,"Hi there, Santa!

It's Laura from Moncton, New Brunswick. I've been trying my best to stay on the nice list.
I'm really wishing for a video game this year. And if it's not too much, a wireless charging pad would be amazing too!

Thanks for all you do!
Laura
","video game, wireless charging pad"
William,william2011@yahoo.com,Ontario,Brampton,2024-12-10,"Dear Santa Claus,

William here from Brampton, Ontario. I've been working hard on being good this year.
I'm really excited about the possibility of getting a Apple iPad (10th Generation). And if it's not too much to ask, a ElectroCubes Nightlight Building Set would be incredible!

Thanks for spreading joy!
William
","Apple iPad (10th Generation), ElectroCubes Nightlight Building Set"
Billy,billy.smith@mail.com,Nova Scotia,Sydney,2024-11-14,"Hi there, Santa!

It's Billy from Sydney, Nova Scotia. I've been trying my best to stay on the nice list.
I'm really wishing for a Amazon Fire HD 10 Kids Pro this year. And if it's not too much, a LEGO Batman Mech Armor would be amazing too!

Thanks for all you do!
Billy
","Amazon Fire HD 10 Kids Pro, LEGO Batman Mech Armor"
Justin,,Nunavut,Iqaluit,2024-11-29,"Hey Santa, what's good?

It's your buddy Justin from Iqaluit, Nunavut. I've been trying to keep my cool all year.
I'm really hoping to score a compact sewing machine this Christmas. And if you've got any magic left, a Furby Furblets would be sick!

Keep sleighing it, Santa!
Justin
","compact sewing machine, Furby Furblets"
Carolyn,carolyn2016@mail.com,Nunavut,Rankin Inlet,2024-11-03,"Hi Santa,

I'm Carolyn from Rankin Inlet, Nunavut. It's been a great year, and I've tried my best to be good. 
For Christmas, I have my eyes set on a skateboard. If it’s not too much trouble, I’d also love a solar-powered phone charger.

Happy Holidays, Santa!
Best wishes,
Carolyn
","skateboard, solar-powered phone charger"
Jonathan,jonathan2012@mail.com,Northwest Territories,Hay River,2024-11-30,"Dear S-Claus,

It's your pal Jonathan from Hay River, Northwest Territories. I've been working on my nice game all year.
I'm really hoping for a Squishmallows (Hello Kitty, Piplup, Adopt Me! Queen Bee) this Christmas. And hey, if you're in a giving mood, a interactive storybook projector would be awesome too!

Thanks for being you!
Jonathan
","Squishmallows (Hello Kitty, Piplup, Adopt Me! Queen Bee), interactive storybook projector"
Maureen,maureen456@gmail.com,British Columbia,Surrey,2024-11-21,"S-man!

What's crackin'? It's Maureen from Surrey, British Columbia. I've been keeping my nose clean all year.
I'm super stoked about maybe getting a Wake Up Light Sunrise Alarm Clock. And if you're feeling extra jolly, a noise-cancelling headphones would be off the hook!

You're a legend, Santa!
Maureen
","Wake Up Light Sunrise Alarm Clock, noise-cancelling headphones"
Brittney,,British Columbia,Burnaby,2024-11-19,"Hey Santa, what's good?

It's your buddy Brittney from Burnaby, British Columbia. I've been trying to keep my cool all year.
I'm really hoping to score a bicycle this Christmas. And if you've got any magic left, a mini waffle maker would be sick!

Keep sleighing it, Santa!
Brittney
","bicycle, mini waffle maker"
Ashley,ashley.m@yahoo.com,Nova Scotia,Sydney,2024-11-21,"Dear Santa Claus,

Hello! My name is Ashley, and I live in Sydney, Nova Scotia.
I’ve been very kind and helpful this year. For Christmas, I would really like a smart water bottle.
It would also make me so happy to have a book if you can manage it.

Thank you so much, Santa!
Yours truly,
Ashley
","smart water bottle, book"
Michael,michael.ran@outlook.com,Nunavut,Rankin Inlet,2024-12-11,"Dear Santa Claus,

It’s Michael here from Rankin Inlet, Nunavut! I hope you and the reindeer are doing great.
This year, I’ve been really good, and I’d be super excited to get a 5 Surprise NBA Ballers.
And if it’s okay, I’d also love a lego set to make the holidays even more special.

Thanks so much, Santa!
Love,
Michael
","5 Surprise NBA Ballers, lego set"
Ariel,ariel2015@hotmail.com,Saskatchewan,Saskatoon,2024-11-26,"S-man!

What's crackin'? It's Ariel from Saskatoon, Saskatchewan. I've been keeping my nose clean all year.
I'm super stoked about maybe getting a Funko POP! Figures (NBA, MLB, Marvel). And if you're feeling extra jolly, a Small Stoneware Vase would be off the hook!

You're a legend, Santa!
Ariel
","Funko POP! Figures (NBA, MLB, Marvel), Small Stoneware Vase"
Michelle,michelle2013@gmail.com,Manitoba,Brandon,2024-12-11,"S-man!

What's crackin'? It's Michelle from Brandon, Manitoba. I've been keeping my nose clean all year.
I'm super stoked about maybe getting a LEGO Batman Mech Armor. And if you're feeling extra jolly, a Surprise Toy Bath Bombs would be off the hook!

You're a legend, Santa!
Michelle
","LEGO Batman Mech Armor, Surprise Toy Bath Bombs"
Robert,robert.m@mail.com,Newfoundland and Labrador,St. John's,2024-12-22,"Dear Santa Claus,

Hello! My name is Robert, and I live in St. John's, Newfoundland and Labrador.
I’ve been very kind and helpful this year. For Christmas, I would really like a Miniverse Make It Mini Food Kits.
It would also make me so happy to have a Barbie Dreamhouse if you can manage it.

Thank you so much, Santa!
Yours truly,
Robert
","Miniverse Make It Mini Food Kits, Barbie Dreamhouse"
Michelle,,New Brunswick,Moncton,2024-11-13,"Dear Santa Claus,

Michelle here from Moncton, New Brunswick. I've been working hard on being good this year.
I'm really excited about the possibility of getting a wireless charging pad. And if it's not too much to ask, a Out to Impress Jewelry Set would be incredible!

Thanks for spreading joy!
Michelle
","wireless charging pad, Out to Impress Jewelry Set"
Barbara,barbara456@mail.com,Manitoba,Winnipeg,2024-11-30,"Hello Santa,

My name is Barbara, and I come from Winnipeg, Manitoba.
This year, I’ve tried to spread kindness and be the best I can be. For Christmas, I would 
be delighted to unwrap a desktop air purifier. And if it’s possible, I’d also really appreciate a personalized leather journal.

Thanks for making Christmas magical!
With gratitude,
Barbara
","desktop air purifier, personalized leather journal"
Amber,,British Columbia,Surrey,2024-11-08,"Hi Santa!

Amber here, waving from Surrey, British Columbia. I've been trying my best to be good (most of the time).
I'm really hoping to find a retro instant camera under the tree. And if there's room in your bag, a 5 Surprise NBA Ballers would be amazing!

Thanks for being awesome!
Amber
","retro instant camera, 5 Surprise NBA Ballers"
Teresa,,Saskatchewan,Saskatoon,2024-11-08,"Dear Santa Claus,

It’s Teresa here from Saskatoon, Saskatchewan! I hope you and the reindeer are doing great.
This year, I’ve been really good, and I’d be super excited to get a mini espresso maker.
And if it’s okay, I’d also love a Live Christmas Tree (Norfolk Island Pine) to make the holidays even more special.

Thanks so much, Santa!
Love,
Teresa
","mini espresso maker, Live Christmas Tree (Norfolk Island Pine)"
Alan,alan789@gmail.com,British Columbia,Victoria,2024-11-27,"Hi Santa,

I'm Alan from Victoria, British Columbia. It's been a great year, and I've tried my best to be good. 
For Christmas, I have my eyes set on a mini drone. If it’s not too much trouble, I’d also love a bicycle.

Happy Holidays, Santa!
Best wishes,
Alan
","mini drone, bicycle"
Melissa,melissa2015@hotmail.com,Saskatchewan,Prince Albert,2024-12-03,"Hi Santa!

Melissa here, waving from Prince Albert, Saskatchewan. I've been trying my best to be good (most of the time).
I'm really hoping to find a Apple iPad Air under the tree. And if there's room in your bag, a Rechargeable Hand Warmer would be amazing!

Thanks for being awesome!
Melissa
","Apple iPad Air, Rechargeable Hand Warmer"
Nathan,,Manitoba,Winnipeg,2024-11-30,"Hi there, Santa!

It's Nathan from Winnipeg, Manitoba. I've been trying my best to stay on the nice list.
I'm really wishing for a 3D printing pen this year. And if it's not too much, a portable campfire would be amazing too!

Thanks for all you do!
Nathan
","3D printing pen, portable campfire"
David,david.gat@mail.com,Quebec,Gatineau,2024-11-28,"Hey Santa!

What's up? It's David here from Gatineau, Quebec. I've been crushing it this year - no coal for me, right? 😉
I'm dreaming of a lego set under the tree. Oh, and if you've got room in that sleigh, a LED Light-Up Sneakers would be epic too!

You're the best, big guy!
David
","lego set, LED Light-Up Sneakers"
Shawn,shawn2014@gmail.com,Yukon,Whitehorse,2024-11-28,"Dear Santa,

I hope this letter finds you well. My name is Shawn, and I live in Whitehorse, Yukon. 
This year, I've been on my best behavior. For Christmas, I would really love a portable campfire. 
If you can, I would also be thrilled to receive a smart fitness tracker.

Thank you for all the joy you bring!
Sincerely,
Shawn
","portable campfire, smart fitness tracker"
Mark,mark789@hotmail.com,Manitoba,Winnipeg,2024-11-18,"Hi Santa!

Mark here, waving from Winnipeg, Manitoba. I've been trying my best to be good (most of the time).
I'm really hoping to find a Live Christmas Tree (Norfolk Island Pine) under the tree. And if there's room in your bag, a Transformers Authentics Optimus Prime would be amazing!

Thanks for being awesome!
Mark
","Live Christmas Tree (Norfolk Island Pine), Transformers Authentics Optimus Prime"
Jennifer,,Quebec,Montreal,2024-12-21,"To Santa Claus,

My name is Jennifer, and I live in Montreal, Quebec.
This year, I’ve worked really hard to stay on the 'nice' list. For Christmas, I would be so happy 
to receive a foldable travel backpack. And if it’s not too much to ask, I would love a LEGO Star Wars Set as well.

Thank you so much, Santa!
Warm regards,
Jennifer
","foldable travel backpack, LEGO Star Wars Set"
James,,Ontario,Brampton,2024-11-27,"Hello Santa,

My name is James, and I come from Brampton, Ontario.
This year, I’ve tried to spread kindness and be the best I can be. For Christmas, I would 
be delighted to unwrap a LEGO Creator 3-in-1 Mighty Dinosaurs. And if it’s possible, I’d also really appreciate a toy car.

Thanks for making Christmas magical!
With gratitude,
James
","LEGO Creator 3-in-1 Mighty Dinosaurs, toy car"
Jill,jill.win@outlook.com,Manitoba,Winnipeg,2024-12-15,"Santa, my main man!

Jill here, chillin' in Winnipeg, Manitoba. I've been keeping it real and staying good.
I'm dreaming of unwrapping a solar-powered phone charger on Christmas morning. And if you're feeling generous, a Live Christmas Tree (Norfolk Island Pine) would be the cherry on top!

You're the GOAT, Santa!
Jill
","solar-powered phone charger, Live Christmas Tree (Norfolk Island Pine)"
Gregory,gregory.m@hotmail.com,Prince Edward Island,Summerside,2024-11-07,"Dear Santa Claus,

Gregory here from Summerside, Prince Edward Island. I've been working hard on being good this year.
I'm really excited about the possibility of getting a robot. And if it's not too much to ask, a eco-friendly reusable notebook would be incredible!

Thanks for spreading joy!
Gregory
","robot, eco-friendly reusable notebook"
Megan,megan2018@yahoo.com,New Brunswick,Moncton,2024-11-01,"Dear Santa,

I hope this letter finds you well. My name is Megan, and I live in Moncton, New Brunswick. 
This year, I've been on my best behavior. For Christmas, I would really love a Pom Pom Beanie with LED Light. 
If you can, I would also be thrilled to receive a mechanical keyboard.

Thank you for all the joy you bring!
Sincerely,
Megan
","Pom Pom Beanie with LED Light, mechanical keyboard"
James,james2018@hotmail.com,Ontario,Mississauga,2024-11-07,"Hello Santa,

My name is James, and I come from Mississauga, Ontario.
This year, I’ve tried to spread kindness and be the best I can be. For Christmas, I would 
be delighted to unwrap a 3D printing pen. And if it’s possible, I’d also really appreciate a Samsung Galaxy Tab A9+.

Thanks for making Christmas magical!
With gratitude,
James
","3D printing pen, Samsung Galaxy Tab A9+"
Debra,debra456@hotmail.com,Ontario,Toronto,2024-11-17,"Dear Santa Claus,

Hello! My name is Debra, and I live in Toronto, Ontario.
I’ve been very kind and helpful this year. For Christmas, I would really like a Harry Potter Crookshanks Plush.
It would also make me so happy to have a Temporary Tattoo Markers Kit if you can manage it.

Thank you so much, Santa!
Yours truly,
Debra
","Harry Potter Crookshanks Plush, Temporary Tattoo Markers Kit"
Christopher,christopher123@yahoo.com,New Brunswick,Fredericton,2024-11-24,"Hi Santa!

Christopher here, waving from Fredericton, New Brunswick. I've been trying my best to be good (most of the time).
I'm really hoping to find a Wake Up Light Sunrise Alarm Clock under the tree. And if there's room in your bag, a virtual pet robot would be amazing!

Thanks for being awesome!
Christopher
","Wake Up Light Sunrise Alarm Clock, virtual pet robot"
Lisa,lisa789@mail.com,Saskatchewan,Regina,2024-11-01,"Santa, my dude!

Lisa here, repping Regina, Saskatchewan. I've been good(ish) this year, promise!
I'm crossing my fingers for a LEGO Star Wars Set. And if you're feeling extra magical, a 5 Surprise NBA Ballers would make my year!

You rock, Santa!
Lisa
","LEGO Star Wars Set, 5 Surprise NBA Ballers"
Christian,christian123@gmail.com,Saskatchewan,Prince Albert,2024-11-30,"To Santa Claus,

My name is Christian, and I live in Prince Albert, Saskatchewan.
This year, I’ve worked really hard to stay on the 'nice' list. For Christmas, I would be so happy 
to receive a customizable neon sign. And if it’s not too much to ask, I would love a LEGO Batman Mech Armor as well.

Thank you so much, Santa!
Warm regards,
Christian
","customizable neon sign, LEGO Batman Mech Armor"
Eileen,eileen789@gmail.com,Prince Edward Island,Summerside,2024-11-01,"Dear S-Claus,

It's your pal Eileen from Summerside, Prince Edward Island. I've been working on my nice game all year.
I'm really hoping for a Harry Potter Wand this Christmas. And hey, if you're in a giving mood, a Apple Watch would be awesome too!

Thanks for being you!
Eileen
","Harry Potter Wand, Apple Watch"
Vanessa,vanessa789@hotmail.com,Alberta,Edmonton,2024-11-13,"Yo Santa!

Vanessa checking in from Edmonton, Alberta. This year's been wild, but I've kept it cool. 
I'm hyped about maybe getting a LEGO Creator 3-in-1 Mighty Dinosaurs. And, if you're feeling extra jolly, a ALEX Glow Sketch It Nail Pens would blow my mind!

Stay frosty!
Vanessa
","LEGO Creator 3-in-1 Mighty Dinosaurs, ALEX Glow Sketch It Nail Pens"
Jennifer,jennifer456@hotmail.com,Nova Scotia,Dartmouth,2024-12-16,"Hello Santa,

My name is Jennifer, and I come from Dartmouth, Nova Scotia.
This year, I’ve tried to spread kindness and be the best I can be. For Christmas, I would 
be delighted to unwrap a lego set. And if it’s possible, I’d also really appreciate a customized photo puzzle.

Thanks for making Christmas magical!
With gratitude,
Jennifer
","lego set, customized photo puzzle"
Virginia,,Yukon,Whitehorse,2024-11-19,"S-man!

What's crackin'? It's Virginia from Whitehorse, Yukon. I've been keeping my nose clean all year.
I'm super stoked about maybe getting a Harry Potter Wand. And if you're feeling extra jolly, a Yellow Dress-Up Set would be off the hook!

You're a legend, Santa!
Virginia
","Harry Potter Wand, Yellow Dress-Up Set"
Anthony,anthony2012@gmail.com,New Brunswick,Saint John,2024-11-04,"To Santa Claus,

My name is Anthony, and I live in Saint John, New Brunswick.
This year, I’ve worked really hard to stay on the 'nice' list. For Christmas, I would be so happy 
to receive a compact sewing machine. And if it’s not too much to ask, I would love a 3D printing pen as well.

Thank you so much, Santa!
Warm regards,
Anthony
","compact sewing machine, 3D printing pen"
Jonathan,jonathan.wilson@hotmail.com,Saskatchewan,Regina,2024-11-05,"Dear Santa Claus,

Jonathan here from Regina, Saskatchewan. I've been working hard on being good this year.
I'm really excited about the possibility of getting a e.l.f. Halo Glow Liquid Filter. And if it's not too much to ask, a LED Light-Up Sneakers would be incredible!

Thanks for spreading joy!
Jonathan
","e.l.f. Halo Glow Liquid Filter, LED Light-Up Sneakers"
Lauren,lauren2018@hotmail.com,Northwest Territories,Yellowknife,2024-11-17,"Dear Santa,

I hope this letter finds you well. My name is Lauren, and I live in Yellowknife, Northwest Territories. 
This year, I've been on my best behavior. For Christmas, I would really love a smart home assistant. 
If you can, I would also be thrilled to receive a customized photo puzzle.

Thank you for all the joy you bring!
Sincerely,
Lauren
","smart home assistant, customized photo puzzle"
Kristy,,Northwest Territories,Inuvik,2024-12-14,"To Santa Claus,

My name is Kristy, and I live in Inuvik, Northwest Territories.
This year, I’ve worked really hard to stay on the 'nice' list. For Christmas, I would be so happy 
to receive a Temporary Tattoo Markers Kit. And if it’s not too much to ask, I would love a Miniverse Make It Mini Food Kits as well.

Thank you so much, Santa!
Warm regards,
Kristy
","Temporary Tattoo Markers Kit, Miniverse Make It Mini Food Kits"
Kylie,kylie123@gmail.com,Manitoba,Brandon,2024-12-09,"Hi Santa!

Kylie here, waving from Brandon, Manitoba. I've been trying my best to be good (most of the time).
I'm really hoping to find a Furby Furblets under the tree. And if there's room in your bag, a electric scooter would be amazing!

Thanks for being awesome!
Kylie
","Furby Furblets, electric scooter"
Mackenzie,mackenzie2012@outlook.com,Alberta,Edmonton,2024-11-22,"Dear Santa,

I hope this letter finds you well. My name is Mackenzie, and I live in Edmonton, Alberta. 
This year, I've been on my best behavior. For Christmas, I would really love a Apple iPad Air. 
If you can, I would also be thrilled to receive a noise-cancelling headphones.

Thank you for all the joy you bring!
Sincerely,
Mackenzie
","Apple iPad Air, noise-cancelling headphones"
Travis,,Nova Scotia,Sydney,2024-12-10,"Dear Santa Claus,

Travis here from Sydney, Nova Scotia. I've been working hard on being good this year.
I'm really excited about the possibility of getting a solar-powered phone charger. And if it's not too much to ask, a mechanical keyboard would be incredible!

Thanks for spreading joy!
Travis
","solar-powered phone charger, mechanical keyboard"
Jessica,jessica2018@hotmail.com,New Brunswick,Saint John,2024-11-26,"S-man!

What's crackin'? It's Jessica from Saint John, New Brunswick. I've been keeping my nose clean all year.
I'm super stoked about maybe getting a Apple Watch. And if you're feeling extra jolly, a heated blanket with remote would be off the hook!

You're a legend, Santa!
Jessica
","Apple Watch, heated blanket with remote"
Tiffany,tiffany2012@yahoo.com,Newfoundland and Labrador,St. John's,2024-12-09,"Hi Santa,

I'm Tiffany from St. John's, Newfoundland and Labrador. It's been a great year, and I've tried my best to be good. 
For Christmas, I have my eyes set on a Furby Furblets. If it’s not too much trouble, I’d also love a Rechargeable Hand Warmer.

Happy Holidays, Santa!
Best wishes,
Tiffany
","Furby Furblets, Rechargeable Hand Warmer"
Laura,laura.miller@gmail.com,New Brunswick,Saint John,2024-11-14,"S-man!

What's crackin'? It's Laura from Saint John, New Brunswick. I've been keeping my nose clean all year.
I'm super stoked about maybe getting a Funko POP! Figures (NBA, MLB, Marvel). And if you're feeling extra jolly, a Harry Potter Crookshanks Plush would be off the hook!

You're a legend, Santa!
Laura
","Funko POP! Figures (NBA, MLB, Marvel), Harry Potter Crookshanks Plush"
Kelsey,kelsey.hay@outlook.com,Northwest Territories,Hay River,2024-11-02,"S-man!

What's crackin'? It's Kelsey from Hay River, Northwest Territories. I've been keeping my nose clean all year.
I'm super stoked about maybe getting a Wake Up Light Sunrise Alarm Clock. And if you're feeling extra jolly, a interactive storybook projector would be off the hook!

You're a legend, Santa!
Kelsey
","Wake Up Light Sunrise Alarm Clock, interactive storybook projector"
Arthur,arthur.cam@mail.com,Nunavut,Cambridge Bay,2024-12-14,"Dear Santa Claus,

It’s Arthur here from Cambridge Bay, Nunavut! I hope you and the reindeer are doing great.
This year, I’ve been really good, and I’d be super excited to get a 3D printing pen.
And if it’s okay, I’d also love a Harry Potter Wand to make the holidays even more special.

Thanks so much, Santa!
Love,
Arthur
","3D printing pen, Harry Potter Wand"
Rachel,rachel.smith@mail.com,Ontario,Ottawa,2024-11-08,"Hey Santa!

What's up? It's Rachel here from Ottawa, Ontario. I've been crushing it this year - no coal for me, right? 😉
I'm dreaming of a color-changing smart light bulb under the tree. Oh, and if you've got room in that sleigh, a interactive storybook projector would be epic too!

You're the best, big guy!
Rachel
","color-changing smart light bulb, interactive storybook projector"
Robert,robert789@yahoo.com,New Brunswick,Fredericton,2024-12-14,"Hi there, Santa!

It's Robert from Fredericton, New Brunswick. I've been trying my best to stay on the nice list.
I'm really wishing for a desktop air purifier this year. And if it's not too much, a solar-powered phone charger would be amazing too!

Thanks for all you do!
Robert
","desktop air purifier, solar-powered phone charger"
Christina,christina.wilson@gmail.com,Alberta,Calgary,2024-11-05,"Dear Santa Claus,

It’s Christina here from Calgary, Alberta! I hope you and the reindeer are doing great.
This year, I’ve been really good, and I’d be super excited to get a e.l.f. Halo Glow Liquid Filter.
And if it’s okay, I’d also love a lego set to make the holidays even more special.

Thanks so much, Santa!
Love,
Christina
","e.l.f. Halo Glow Liquid Filter, lego set"
Brian,brian.wilson@mail.com,Ontario,Toronto,2024-11-30,"Dear Santa Claus,

It’s Brian here from Toronto, Ontario! I hope you and the reindeer are doing great.
This year, I’ve been really good, and I’d be super excited to get a electric scooter.
And if it’s okay, I’d also love a Barbie Dreamhouse to make the holidays even more special.

Thanks so much, Santa!
Love,
Brian
","electric scooter, Barbie Dreamhouse"
Misty,misty2011@mail.com,Quebec,Montreal,2024-11-01,"Hi Santa!

Misty here, waving from Montreal, Quebec. I've been trying my best to be good (most of the time).
I'm really hoping to find a Amazon Fire HD 10 Kids Pro under the tree. And if there's room in your bag, a Temporary Tattoo Markers Kit would be amazing!

Thanks for being awesome!
Misty
","Amazon Fire HD 10 Kids Pro, Temporary Tattoo Markers Kit"
